key,,shift,ctrl,alt,meta,shift ctrl,ctrl alt,shift ctrl alt,shift alt,shift ctrl meta alt
SUBTRACT,Graph.ZoomOut|CollapseTreeNode,,CollapseExpandableComponent|CollapseRegion|CollapseAll,,,CollapseAllRegions,CollapseRegionRecursively,,,
MINUS,Graph.ZoomOut,,CollapseExpandableComponent|CollapseRegion|CollapseAll,,,CollapseAllRegions,CollapseRegionRecursively,,ZoomOutIdeAction,
SLASH,,,Graph.ActualSize|Images.Editor.ActualSize|CommentByLineComment,HippieCompletion,,CommentByBlockComment,,,HippieBackwardCompletion,
PAGE_DOWN,EditorPageDown|Vcs.CombinedDiff.CaretToNextBlock|SearchEverywhere.NavigateToNextGroup,EditorPageDownWithSelection|Terminal.PageDown,EditorMoveToPageBottom,,,EditorMoveToPageBottomWithSelection,,,,
CLOSE_BRACKET,,,EditorCodeBlockEnd,NextInlineCompletionSuggestionAction,,EditorCodeBlockEndWithSelection,NextProjectWindow,,EmmetNextEditPoint,
BACK_SLASH,,,FileChooser.GoToRoot|AIAssistant.Editor.AskAiAssistantInEditor,MainMenuButton.ShowMenu,,,,,CallInlineCompletionAction,
PERIOD,,,EditorChooseLookupItemDot|CollapseSelection,,,com.laravel_idea.plugin.GenerateHelperCodeAction|CollapseBlock,GotoCustomRegion,,EditorIncreaseFontSizeGlobal,
SEMICOLON,,,,,,,EmojiPicker.Open,,,
END,EditorLineEnd,EditorLineEndWithSelection,EditorTextEnd,,,EditorTextEndWithSelection,,,,
LEFT,EditorLeft|Vcs.Log.GoToChild|Vcs.CombinedDiff.CaretToPrevBlock,EditorLeftWithSelection,EditorPreviousWord,PreviousTab,,EditorPreviousWordWithSelection,Back,ResizeToolWindowLeft|MoveElementLeft,PreviousEditorTab|Diff.PrevChange,
PAGE_UP,EditorPageUp|SearchEverywhere.NavigateToPrevGroup|Vcs.CombinedDiff.CaretToPrevBlock,Terminal.PageUp|EditorPageUpWithSelection,EditorMoveToPageTop,,,EditorMoveToPageTopWithSelection,,,,
CONTEXT_MENU,ShowPopupMenu,,,,,,,,,
DIVIDE,,,Graph.ActualSize|Images.Editor.ActualSize|CommentByLineComment,,,CommentByBlockComment,,,,
DOWN,EditorDown|Vcs.CombinedDiff.CaretToNextBlock|Terminal.SelectBlockBelow,EditorDownWithSelection,Terminal.SelectPrompt|EditorScrollDown|Terminal.LineDown|MethodOverloadSwitchDown|SearchEverywhere.NavigateToNextGroup|EditorLookupDown,ShowContent|ShowSearchHistory|MethodDown|Arrangement.Rule.Match.Condition.Move.Down,,MoveStatementDown,Console.TableResult.NextPage|NextOccurence,ResizeToolWindowDown|VcsShowNextChangeMarker,MoveLineDown,
COMMA,,,,,,com.laravel_idea.plugin.LaravelActionChooser,,,EditorDecreaseFontSizeGlobal,
MULTIPLY,FullyExpandTreeNode,,ExpandToLevel2|ExpandToLevel2|ExpandToLevel1|ExpandToLevel1|ExpandToLevel4|ExpandToLevel4|ExpandToLevel3|ExpandToLevel3|ExpandToLevel5|ExpandToLevel5,,,ExpandAllToLevel5|ExpandAllToLevel5|ExpandAllToLevel4|ExpandAllToLevel4|ExpandAllToLevel3|ExpandAllToLevel3|ExpandAllToLevel2|ExpandAllToLevel2|ExpandAllToLevel1|ExpandAllToLevel1,,,,
BACK_QUOTE,,,QuickChangeScheme,Vcs.QuickListPopupAction,,Git.Branches,,,,
